last digit,count,digit_frequency,uniform
0,175,0.13910969793322733,0.1
1,114,0.09062003179650238,0.1
2,126,0.10015898251192369,0.1
3,134,0.10651828298887123,0.1
4,121,0.09618441971383147,0.1
5,139,0.11049284578696343,0.1
6,116,0.09220985691573927,0.1
7,109,0.08664546899841018,0.1
8,112,0.0890302066772655,0.1
9,112,0.0890302066772655,0.1
