Date,Year,Month,Day,Weekday,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-02-12,2014,2,12,Wednesday,42.86000061035156,42.04999923706055,42.20000076293945,4191200.0,35.66864776611328,-0.008225610190719657,32.94218526567732,32.72882895634092
2014-02-13,2014,2,13,Thursday,42.61000061035156,41.880001068115234,42.36000061035156,3922100.0,35.80388259887695,0.0037914202313031886,33.25310870579311,32.83133074442546
2014-02-14,2014,2,14,Friday,42.61000061035156,41.93000030517578,42.34000015258789,3645500.0,35.7869873046875,-0.00047188441484791177,33.574899673461914,32.92667450443391
2014-02-18,2014,2,18,Tuesday,42.5099983215332,41.970001220703125,42.22999954223633,2477100.0,35.694000244140625,-0.0025983483816390818,33.89850125994001,33.013153433799744
2014-02-19,2014,2,19,Wednesday,42.540000915527344,42.04999923706055,42.189998626708984,4202000.0,35.66019821166992,-0.0009469947957501113,34.224518094744,33.09336691191702
2014-02-20,2014,2,20,Thursday,42.54999923706055,42.18000030517578,42.34000015258789,3040200.0,35.7869873046875,0.0035554792002274738,34.48412431989397,33.172591041116156
2014-02-21,2014,2,21,Friday,43.0,42.16999816894531,42.77000045776367,4334200.0,36.150428771972656,0.010155687713828687,34.76727540152414,33.25767211914062
2014-02-24,2014,2,24,Monday,43.349998474121094,42.810001373291016,42.91999816894531,7340900.0,36.2772102355957,0.0035070528325611416,35.109592710222515,33.341548177931045
2014-02-25,2014,2,25,Tuesday,43.849998474121094,42.939998626708984,43.810001373291016,6969600.0,37.02945327758789,0.02073596721211146,35.47002083914621,33.44122128873258
2014-02-26,2014,2,26,Wednesday,44.33000183105469,43.59000015258789,43.90999984741211,5991900.0,37.11398696899414,0.0022828771133225345,35.80992317199707,33.537873017160514
2014-02-27,2014,2,27,Thursday,44.2599983215332,42.56999969482422,43.68000030517578,7584800.0,36.91958236694336,-0.005238041448179409,36.04960550580706,33.62458351330879
2014-02-28,2014,2,28,Friday,44.59000015258789,43.15999984741211,43.75,6493400.0,36.978755950927734,0.0016027695924685226,36.15525899614607,33.708437824249266
2014-03-03,2014,3,3,Monday,43.650001525878906,42.970001220703125,43.25,3476800.0,36.5561408996582,-0.011428590291959972,36.24219567435129,33.77789399682022
2014-03-04,2014,3,4,Tuesday,43.70000076293945,42.7599983215332,42.790000915527344,4841400.0,36.16734313964844,-0.01063563468247275,36.25668607439314,33.834785643078035
2014-03-05,2014,3,5,Wednesday,43.06999969482422,42.47999954223633,42.61000061035156,3613600.0,36.01519012451172,-0.00420691712269905,36.28143909999302,33.885492724041605
2014-03-06,2014,3,6,Thursday,42.88999938964844,42.22999954223633,42.290000915527344,3394200.0,35.74471664428711,-0.0075099834067106075,36.277212960379465,33.9277478131381
2014-03-07,2014,3,7,Friday,42.459999084472656,41.04999923706055,42.380001068115234,12232500.0,35.82078552246094,0.0021281152940957337,36.27962711879185,33.96981531778972
2014-03-10,2014,3,10,Monday,42.52000045776367,41.66999816894531,42.02000045776367,4778400.0,35.516510009765625,-0.00849438414756487,36.26694924490793,34.00343911544137
2014-03-11,2014,3,11,Tuesday,42.15999984741211,41.7400016784668,41.83000183105469,4553300.0,35.355918884277344,-0.004521590816330967,36.24521500723703,34.03221528073575
2014-03-12,2014,3,12,Wednesday,41.5,40.400001525878906,41.29999923706055,5125700.0,34.907936096191406,-0.01267065889454666,36.18242563520159,34.050459464391075
2014-03-13,2014,3,13,Thursday,41.47999954223633,41.04999923706055,41.27000045776367,4330300.0,34.88258743286133,-0.0007261576066894815,36.09186553955078,34.06744166782924
2014-03-14,2014,3,14,Friday,42.88999938964844,41.22999954223633,42.08000183105469,6410800.0,35.567222595214844,0.019626845734171505,36.04115213666643,34.09743728637695
2014-03-17,2014,3,17,Monday,42.459999084472656,41.9900016784668,42.20000076293945,3769600.0,35.66864776611328,0.002851647204864527,35.943951742989675,34.15957763671875
2014-03-18,2014,3,18,Tuesday,42.470001220703125,41.959999084472656,42.13999938964844,2980400.0,35.6179313659668,-0.0014218761664036572,35.83709062848772,34.20724853515625
2014-03-19,2014,3,19,Wednesday,42.189998626708984,41.33000183105469,41.61000061035156,3180500.0,35.169960021972656,-0.012577129743761017,35.712117603846956,34.2505241394043
2014-03-20,2014,3,20,Thursday,41.63999938964844,41.220001220703125,41.43000030517578,2127300.0,35.017822265625,-0.00432578701404851,35.57205091203962,34.28585479736328
2014-03-21,2014,3,21,Friday,42.04999923706055,41.5099983215332,41.689998626708984,4327200.0,35.23758316040039,0.0062756870803790665,35.47786821637835,34.32794723510742
2014-03-24,2014,3,24,Monday,41.95000076293945,40.91999816894531,41.0099983215332,3058000.0,34.6628303527832,-0.016310789675924475,35.37040301731655,34.35482559204102
2014-03-25,2014,3,25,Tuesday,41.119998931884766,39.83000183105469,40.18000030517578,5183200.0,33.96128845214844,-0.020239025304476743,35.22369575500488,34.36057319641113
2014-03-26,2014,3,26,Wednesday,40.43000030517578,39.810001373291016,39.83000183105469,4396300.0,33.66545867919922,-0.008710793566211295,35.075177328927175,34.38728240966797
2014-03-27,2014,3,27,Thursday,40.470001220703125,39.790000915527344,39.880001068115234,2871100.0,33.70771408081055,0.001255155974970723,34.92424365452358,34.42464149475098
2014-03-28,2014,3,28,Friday,40.45000076293945,39.7400016784668,40.16999816894531,2370800.0,33.95283126831055,0.0072718424901896395,34.812552315848215,34.4694384765625
2014-03-31,2014,3,31,Monday,40.38999938964844,39.65999984741211,40.060001373291016,4306800.0,33.859867095947266,-0.002738038887792227,34.705691473824636,34.51863090515137
2014-04-01,2014,4,1,Tuesday,41.040000915527344,40.310001373291016,40.97999954223633,5020500.0,34.63746643066406,0.02296522111304644,34.68637221200125,34.580839767456055
2014-04-02,2014,4,2,Wednesday,41.97999954223633,40.83000183105469,41.88999938964844,6421700.0,35.40663146972656,0.022206157618432698,34.7238039289202,34.64220352172852
2014-04-03,2014,4,3,Thursday,42.709999084472656,41.75,42.029998779296875,4928300.0,35.52496337890625,0.003342083227569015,34.720785413469585,34.699003067016605
2014-04-04,2014,4,4,Friday,42.20000076293945,41.310001373291016,41.369998931884766,5391000.0,34.96710968017578,-0.01570314634192438,34.670675550188335,34.75969047546387
2014-04-07,2014,4,7,Monday,41.09000015258789,40.220001220703125,40.349998474121094,4095200.0,34.28730773925781,-0.01944118193169897,34.57563100542341,34.81641754150391
2014-04-08,2014,4,8,Tuesday,40.790000915527344,39.970001220703125,40.7400016784668,3109600.0,34.61871337890625,0.009665548609667951,34.53625624520438,34.88315353393555
2014-04-09,2014,4,9,Wednesday,40.779998779296875,39.81999969482422,39.97999954223633,8249100.0,33.97290802001953,-0.018654805330813318,34.46161951337542,34.939340133666995
2014-04-10,2014,4,10,Thursday,40.33000183105469,39.220001220703125,39.290000915527344,9625600.0,33.38656997680664,-0.017258988923390728,34.32940428597586,34.98515228271484
2014-04-11,2014,4,11,Friday,38.959999084472656,37.0,38.400001525878906,15285900.0,32.630306243896484,-0.022651734917229494,34.18422399248396,34.994708404541015
2014-04-14,2014,4,14,Monday,38.880001068115234,37.529998779296875,37.79999923706055,8331600.0,32.12044906616211,-0.015625264866453548,34.0527354649135,34.99339111328125
2014-04-15,2014,4,15,Tuesday,38.56999969482422,37.59000015258789,38.369998931884766,6134800.0,32.60481262207031,0.015079601001545928,33.97697503226144,35.01579200744629
2014-04-16,2014,4,16,Wednesday,39.150001525878906,38.47999954223633,39.0,5777800.0,33.14016342163086,0.016419379732860895,33.93643569946289,35.03892608642578
2014-04-17,2014,4,17,Thursday,39.11000061035156,38.25,38.58000183105469,4974800.0,32.78325653076172,-0.01076961770913254,33.85289464678083,35.047484130859374
